256 256
3.929 -5.906 -7.28308
3.976 -5.906 -7.30841
4.024 -5.906 -7.32106
4.071 -5.906 -7.31703
4.118 -5.906 -7.30049
4.165 -5.906 -7.28085
4.212 -5.906 -7.26552
4.259 -5.906 -7.26099
4.306 -5.906 -7.27341
4.353 -5.906 -7.3042
4.4 -5.906 -7.35005
4.447 -5.906 -7.40137
4.494 -5.906 -7.44494
4.541 -5.906 -7.4707
4.588 -5.906 -7.4795
4.635 -5.906 -7.48129
4.682 -5.906 -7.48058
4.729 -5.906 -7.47967
4.776 -5.906 -7.47578
4.824 -5.906 -7.46946
4.871 -5.906 -7.46447
4.918 -5.906 -7.46429
4.965 -5.906 -7.46947
5.012 -5.906 -7.47302
5.059 -5.906 -7.46929
5.106 -5.906 -7.45311
5.153 -5.906 -7.42791
5.2 -5.906 -7.40222
5.247 -5.906 -7.38678
5.294 -5.906 -7.38585
5.341 -5.906 -7.40013
5.388 -5.906 -7.42571
5.435 -5.906 -7.4553
5.482 -5.906 -7.47964
5.529 -5.906 -7.48915
5.576 -5.906 -7.47669
5.624 -5.906 -7.44437
5.671 -5.906 -7.39891
5.718 -5.906 -7.34773
5.765 -5.906 -7.30202
5.812 -5.906 -7.2711
5.859 -5.906 -7.26259
5.906 -5.906 -7.28181
5.953 -5.906 -7.32891
6.0 -5.906 -7.39572
-6.0 -5.859 -7.55624
-5.953 -5.859 -7.5516
-5.906 -5.859 -7.55558
-5.859 -5.859 -7.56597
-5.812 -5.859 -7.5778
-5.765 -5.859 -7.58682
-5.718 -5.859 -7.59136
-5.671 -5.859 -7.59144
-5.624 -5.859 -7.5878
-5.576 -5.859 -7.57933
-5.529 -5.859 -7.56708
-5.482 -5.859 -7.55073
-5.435 -5.859 -7.52616
-5.388 -5.859 -7.48946
-5.341 -5.859 -7.44041
-5.294 -5.859 -7.38757
-5.247 -5.859 -7.34368
-5.2 -5.859 -7.31931
-5.153 -5.859 -7.31727
-5.106 -5.859 -7.33155
-5.059 -5.859 -7.34955
-5.012 -5.859 -7.35944
-4.965 -5.859 -7.35963
-4.918 -5.859 -7.35958
-4.871 -5.859 -7.36859
-4.824 -5.859 -7.38624
-4.776 -5.859 -7.40559
-4.729 -5.859 -7.41348
-4.682 -5.859 -7.40518
-4.635 -5.859 -7.38082
-4.588 -5.859 -7.34612
-4.541 -5.859 -7.30953
-4.494 -5.859 -7.28424
-4.447 -5.859 -7.27894
-4.4 -5.859 -7.2943
-4.353 -5.859 -7.31949
-4.306 -5.859 -7.33868
-4.259 -5.859 -7.34118
-4.212 -5.859 -7.32968
-4.165 -5.859 -7.31145
